"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Columbia School District","","2011-2012","High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2011-2012","High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2011-2012","High Needs","Other Count","Number","-6666"
"Columbia School District","","2011-2012","Non-High Needs","Other Count","Number","-6666"
"Columbia School District","","2011-2012","High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2011-2012","Non-High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2012-2013","High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2012-2013","Non-High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2012-2013","High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2012-2013","High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2012-2013","High Needs","Other Count","Number","-6666"
"Columbia School District","","2012-2013","Non-High Needs","Other Count","Number","-6666"
"Columbia School District","","2012-2013","High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2012-2013","Non-High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2013-2014","High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2013-2014","Non-High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2013-2014","High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2013-2014","High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2013-2014","High Needs","Other Count","Number","-6666"
"Columbia School District","","2013-2014","Non-High Needs","Other Count","Number","-6666"
"Columbia School District","","2013-2014","High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2013-2014","Non-High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2014-2015","High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2014-2015","Non-High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2014-2015","High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2014-2015","High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2014-2015","High Needs","Other Count","Number","-6666"
"Columbia School District","","2014-2015","Non-High Needs","Other Count","Number","-6666"
"Columbia School District","","2014-2015","High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2014-2015","Non-High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2015-2016","High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2015-2016","Non-High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2015-2016","High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2015-2016","High Needs","Other Count","Number","-6666"
"Columbia School District","","2015-2016","Non-High Needs","Other Count","Number","-6666"
"Columbia School District","","2015-2016","High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2015-2016","Non-High Needs","Other Rate","Percent","-6666"
"Common Ground High School District","","2010-2011","High Needs","Total Cohort Count","Number","27"
"Common Ground High School District","","2010-2011","Non-High Needs","Total Cohort Count","Number","11"
"Common Ground High School District","","2010-2011","High Needs","Four Year Graduation Count","Number","22"
"Common Ground High School District","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","11"
"Common Ground High School District","","2010-2011","High Needs","Four Year Graduation Rate","Percent","81.5"
"Common Ground High School District","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Common Ground High School District","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Common Ground High School District","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Common Ground High School District","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Common Ground High School District","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Common Ground High School District","","2010-2011","High Needs","Other Count","Number","-9999"
"Common Ground High School District","","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Common Ground High School District","","2010-2011","High Needs","Other Rate","Percent","-9999"
"Common Ground High School District","","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Common Ground High School District","","2011-2012","High Needs","Total Cohort Count","Number","25"
"Common Ground High School District","","2011-2012","Non-High Needs","Total Cohort Count","Number","6"
"Common Ground High School District","","2011-2012","High Needs","Four Year Graduation Count","Number","22"
"Common Ground High School District","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","6"
"Common Ground High School District","","2011-2012","High Needs","Four Year Graduation Rate","Percent","88.0"
"Common Ground High School District","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Common Ground High School District","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Common Ground High School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Common Ground High School District","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Common Ground High School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Common Ground High School District","","2011-2012","High Needs","Other Count","Number","-9999"
"Common Ground High School District","","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Common Ground High School District","","2011-2012","High Needs","Other Rate","Percent","-9999"
"Common Ground High School District","","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
